  GNUCOBOL GREENBAR PRINTING TEST                                      PAGE  1
  56    THIS IS GNUCOBOL TEST RECORD NUMBER 56                    OK

  GNUCOBOL GREENBAR PRINTING TEST                                      PAGE  2
  ==============================================================================
  NO.   DESCRIPTION                                             STATUS
  ------------------------------------------------------------------------------
  57    THIS IS GNUCOBOL TEST RECORD NUMBER 57                    OK
  58    THIS IS GNUCOBOL TEST RECORD NUMBER 58                    OK
  59    THIS IS GNUCOBOL TEST RECORD NUMBER 59                    OK
  60    THIS IS GNUCOBOL TEST RECORD NUMBER 60                    OK
  61    THIS IS GNUCOBOL TEST RECORD NUMBER 61                    OK
  62    THIS IS GNUCOBOL TEST RECORD NUMBER 62                    OK
  63    THIS IS GNUCOBOL TEST RECORD NUMBER 63                    OK
  64    THIS IS GNUCOBOL TEST RECORD NUMBER 64                    OK
  65    THIS IS GNUCOBOL TEST RECORD NUMBER 65                    OK
  66    THIS IS GNUCOBOL TEST RECORD NUMBER 66                    OK
  67    THIS IS GNUCOBOL TEST RECORD NUMBER 67                    OK
  68    THIS IS GNUCOBOL TEST RECORD NUMBER 68                    OK
  69    THIS IS GNUCOBOL TEST RECORD NUMBER 69                    OK
  70    THIS IS GNUCOBOL TEST RECORD NUMBER 70                    OK
  71    THIS IS GNUCOBOL TEST RECORD NUMBER 71                    OK
  72    THIS IS GNUCOBOL TEST RECORD NUMBER 72                    OK
  73    THIS IS GNUCOBOL TEST RECORD NUMBER 73                    OK
  74    THIS IS GNUCOBOL TEST RECORD NUMBER 74                    OK
  75    THIS IS GNUCOBOL TEST RECORD NUMBER 75                    OK
  76    THIS IS GNUCOBOL TEST RECORD NUMBER 76                    OK
  77    THIS IS GNUCOBOL TEST RECORD NUMBER 77                    OK
  78    THIS IS GNUCOBOL TEST RECORD NUMBER 78                    OK
  79    THIS IS GNUCOBOL TEST RECORD NUMBER 79                    OK
  80    THIS IS GNUCOBOL TEST RECORD NUMBER 80                    OK
